gene_id,FDR.ControlvsSaha1,logFC.ControlvsSaha1,FDR.ControlvsSaha2,logFC.ControlvsSaha2,FDR.ControlvsSaha3,logFC.ControlvsSaha3,FDR.ControlvsSaha4,logFC.ControlvsSaha4,FDR.ControlvsSaha5,logFC.ControlvsSaha5,FDR.ControlvsSaha6,logFC.ControlvsSaha6,FDR.ControlvsSaha7,logFC.ControlvsSaha7,log2.TPM.DFT1_CONT_1_S10,log2.TPM.DFT1_CONT_2_S7,log2.TPM.DFT1_CONT_3_S6,log2.TPM.DFT1_Saha1_1_S1,log2.TPM.DFT1_Saha1_2_S24,log2.TPM.DFT1_Saha1_3_S12,log2.TPM.DFT1_Saha2_1_S3,log2.TPM.DFT1_Saha2_2_S22,log2.TPM.DFT1_Saha2_3_S9,log2.TPM.DFT1_Saha3_1_S23,log2.TPM.DFT1_Saha3_2_S18,log2.TPM.DFT1_Saha3_3_S14,log2.TPM.DFT1_Saha4_1_S11,log2.TPM.DFT1_Saha4_2_S2,log2.TPM.DFT1_Saha4_3_S15,log2.TPM.DFT1_Saha5_1_S8,log2.TPM.DFT1_Saha5_2_S21,log2.TPM.DFT1_Saha5_3_S5,log2.TPM.DFT1_Saha6_1_S19,log2.TPM.DFT1_Saha6_2_S16,log2.TPM.DFT1_Saha6_3_S20,log2.TPM.DFT1_Saha7_1_S13,log2.TPM.DFT1_Saha7_2_S17,log2.TPM.DFT1_Saha7_3_S4,counts.DFT1_CONT_1_S10,counts.DFT1_CONT_2_S7,counts.DFT1_CONT_3_S6,counts.DFT1_Saha1_1_S1,counts.DFT1_Saha1_2_S24,counts.DFT1_Saha1_3_S12,counts.DFT1_Saha2_1_S3,counts.DFT1_Saha2_2_S22,counts.DFT1_Saha2_3_S9,counts.DFT1_Saha3_1_S23,counts.DFT1_Saha3_2_S18,counts.DFT1_Saha3_3_S14,counts.DFT1_Saha4_1_S11,counts.DFT1_Saha4_2_S2,counts.DFT1_Saha4_3_S15,counts.DFT1_Saha5_1_S8,counts.DFT1_Saha5_2_S21,counts.DFT1_Saha5_3_S5,counts.DFT1_Saha6_1_S19,counts.DFT1_Saha6_2_S16,counts.DFT1_Saha6_3_S20,counts.DFT1_Saha7_1_S13,counts.DFT1_Saha7_2_S17,counts.DFT1_Saha7_3_S4
LOC105750869,0.946338843,0.01373383,0.959552143,-0.007891572,0.000465029,-0.244959162,1.96E-05,-0.314105133,7.46E-10,0.446004598,0.458088689,0.047760275,0.99801827,0.000439213,4.719912379,4.649051096,4.631512636,4.670371535,4.681173483,4.691048021,4.62116804,4.662133641,4.694268305,4.397111981,4.394623943,4.475162148,4.267394935,4.345957117,4.445197885,5.115657188,5.141039089,5.083520816,4.662917147,4.788932102,4.69219914,4.643509994,4.699277074,4.659915902,729,891,861,810,772,848,811,703,713,663,602,718,664,666,707,584,604,656,786,728,693,841,875,746
GLRX3,0.962286298,-0.006522029,0.153860535,0.079880777,0.27415278,-0.046223242,0.467843948,-0.030511213,6.65E-25,1.295050165,5.52E-11,0.383595386,0.781745076,-0.028960527,7.266692853,7.146828653,7.117059372,7.188782339,7.178925703,7.144198352,7.25389389,7.259823568,7.257384183,7.122355686,7.161921129,7.108339716,7.152965056,7.112788346,7.174200771,8.478104107,8.491282437,8.447257695,7.543739408,7.543184371,7.595294284,7.171467152,7.146015659,7.127077082,4264,5035,4824,4644,4360,4646,5030,4259,4216,4389,4102,4455,4912,4536,4693,6009,6162,6754,5791,4913,5183,4853,4771,4124
TCERG1L,0.498021063,-0.072810428,7.32E-06,-0.336145513,8.97E-17,-1.136349242,1.46E-17,-1.189841979,2.71E-20,-1.256339256,1.20E-16,-1.083621087,0.917554587,0.017197768,6.097790755,6.024829162,6.094565147,6.028418992,6.04025379,5.930426981,5.666406571,5.775576634,5.766732284,4.950829254,4.892217114,4.965224469,4.844456786,4.881955042,4.920820641,4.853398367,4.871206418,4.722985723,4.95890417,5.084100777,4.922625234,6.083170903,6.076985149,6.108861554,1896,2313,2375,2078,1980,2003,1673,1522,1500,974,850,1008,991,966,984,487,501,511,965,893,813,2282,2274,2036
LOC111718654,0.695874561,0.394860492,0.310779703,0.609640532,7.55E-07,2.068585594,5.53E-10,2.878180982,0.757985465,-0.108713452,1.67E-05,1.676923214,0.96403676,0.06720933,-0.351499873,-0.086890907,0.024182589,0.208637854,0.602680182,-0.035614285,0.165633081,0.563345664,0.692680575,1.700433307,2.018052376,2.098472463,2.88294902,2.713741514,2.652834738,-0.610537986,-0.727999752,0.645376904,1.237429595,1.777103349,1.618955599,-0.318325767,0.076593457,0.025615931,21,33,35,36,45,32,37,41,44,102,116,138,254,215,204,11,10,30,73,90,82,27,35,30
MKI67,0.923453131,0.031464213,0.770576075,0.060359747,0.405925801,0.093125125,1.46E-08,-0.814264692,2.69E-18,-2.174631131,8.51E-06,-0.540145264,0.390557639,0.198122289,8.320017658,8.598981599,8.726901197,8.504904452,8.714469354,8.519416807,8.64473165,8.58929114,8.591322609,8.597405082,8.547095203,8.779695915,7.705411252,7.753746372,7.742169656,6.351721933,6.358405831,6.410546203,8.11922297,7.955913239,7.949363432,8.611047028,9.035804955,8.591803373,8849,13776,14724,11565,12641,12053,13191,10704,10628,12203,10714,14192,7203,7073,6956,1376,1405,1646,8629,6540,6624,13165,17682,11383
FAM241B,0.965397437,0.010499052,0.821042073,-0.032870696,0.235817998,-0.085884447,7.43E-06,0.334818291,8.86E-23,1.644781091,2.76E-13,0.792388433,0.807327143,-0.045552421,4.888706426,4.875476076,4.884297293,4.867249734,4.900018709,4.912789818,4.811899146,4.909004585,4.829006035,4.859571972,4.768996883,4.762295679,5.217860466,5.229655481,5.205848742,6.444935143,6.580824561,6.558037432,5.662632367,5.641643312,5.721924204,4.91886333,4.723081922,4.869847287,820,1042,1026,929,898,989,925,835,783,914,781,876,1284,1229,1199,1468,1639,1823,1572,1315,1414,1018,890,862
LOC100917453,0.825886577,-0.027289224,0.414124651,0.057245168,1.87E-08,-0.340219504,9.66E-11,-0.438386242,1.89E-23,1.2226389,0.831045077,0.01020672,0.749040384,-0.035648303,6.882762231,6.772936041,6.826578912,6.767036012,6.842105117,6.791886015,6.918025055,6.9030455,6.833600463,6.490287167,6.526997999,6.444497187,6.365762405,6.457197286,6.344578075,8.05810532,8.064169364,8.028612487,6.868252948,6.843650505,6.801865358,6.832712923,6.768194823,6.774954061,3267,3885,3944,3467,3452,3640,3985,3326,3143,2832,2641,2812,2846,2879,2640,4491,4583,5053,3626,3025,2990,3838,3672,3231
AIFM2,0.544959819,-0.051360884,0.059281066,-0.100401202,2.34E-09,-0.342274685,3.03E-11,-0.416326055,2.36E-16,0.570274443,0.007939918,0.103862575,0.478629412,-0.061630566,6.892617961,6.827659008,6.826578912,6.819193815,6.797616125,6.776437346,6.803662525,6.750720137,6.691859193,6.516052318,6.519479168,6.484782892,6.427378347,6.453867087,6.417040743,7.404498175,7.464313629,7.389291028,6.93739333,6.961687552,6.959760164,6.79017262,6.7543032,6.81793522,3290,4036,3944,3595,3348,3601,3681,2993,2849,2883,2628,2892,2970,2872,2776,2855,3024,3244,3804,3283,3336,3726,3637,3329
TYSND1,0.077489454,-0.241916887,0.332798998,-0.128691411,0.004574581,-0.257052957,0.205408665,-0.109133099,1.70E-15,1.016283211,2.43E-08,0.558120791,0.42513359,-0.151781298,4.409626626,4.319521116,4.197710169,4.004353275,4.075131063,4.123240437,4.284066036,4.168343464,4.090566277,4.021870172,4.057522239,4.078252084,4.186322527,4.189234488,4.225893481,5.305216958,5.257579105,5.417821006,4.854057678,4.785498356,4.964297589,4.170726368,4.100525192,4.201981458,588,709,637,511,507,572,642,499,469,511,477,545,628,598,608,666,655,827,897,726,836,606,578,543
SAR1A,0.877249777,0.020639574,0.702140864,0.032531202,0.026158536,0.101570757,0.684600972,0.019845947,5.69E-16,0.624937846,3.88E-06,0.233244048,0.9984466,-0.000280527,6.866329878,6.791253068,6.847453189,6.871738345,6.821636358,6.873797585,6.946826726,6.814052088,6.842153713,6.950479357,6.927595395,6.932012376,6.837671531,6.862877371,6.8643027,7.517254374,7.383478758,7.480168056,7.048664477,7.096307936,7.059974712,6.81759777,6.836624225,6.850251565,3230,3935,4001,3728,3404,3852,4066,3127,3161,3896,3487,3943,3947,3814,3785,3087,2859,3455,4109,3604,3576,3798,3850,3404
PPA1,0.004645326,0.23369391,0.000355832,0.267854708,7.36E-13,0.687000635,2.66E-09,0.455725628,7.24E-24,1.636460916,3.46E-13,0.691202688,0.814260754,0.037540957,5.952955028,5.791849901,5.811082114,6.119634088,6.020433826,6.118169573,6.158720812,6.130631272,6.071671513,6.506786037,6.569226872,6.542371379,6.271278302,6.325519531,6.327699294,7.514958781,7.45390609,7.49854771,6.464121891,6.53203567,6.634136361,5.866166261,5.875768151,5.927915814,1715,1968,1951,2213,1953,2281,2354,1947,1853,2865,2720,3009,2665,2628,2610,3082,3002,3499,2740,2437,2662,1964,1978,1796
