GENE_ID,Chr,Start,End,Strand,Length,DFT1_CONT_1_S10,DFT1_CONT_2_S7,DFT1_CONT_3_S6,DFT1_Saha1_1_S1,DFT1_Saha1_2_S24,DFT1_Saha1_3_S12,DFT1_Saha2_1_S3,DFT1_Saha2_2_S22,DFT1_Saha2_3_S9,DFT1_Saha3_1_S23,DFT1_Saha3_2_S18,DFT1_Saha3_3_S14,DFT1_Saha4_1_S11,DFT1_Saha4_2_S2,DFT1_Saha4_3_S15,DFT1_Saha5_1_S8,DFT1_Saha5_2_S21,DFT1_Saha5_3_S5,DFT1_Saha6_1_S19,DFT1_Saha6_2_S16,DFT1_Saha6_3_S20,DFT1_Saha7_1_S13,DFT1_Saha7_2_S17,DFT1_Saha7_3_S4
LOC105750869,NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1,122880;130925;131084;143709,123452;130987;131251;143811,-;-;-;-,907,729,891,861,810,772,848,811,703,713,663,602,718,664,666,707,584,604,656,786,728,693,841,875,746
GLRX3,NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1,183606;184756;189295;189884;191912;193138;195218;195354;198572,183680;184957;189467;189945;191969;193190;195257;195446;198842,+;+;+;+;+;+;+;+;+,1027,4264,5035,4824,4644,4360,4646,5030,4259,4216,4389,4102,4455,4912,4536,4693,6009,6162,6754,5791,4913,5183,4853,4771,4124
TCERG1L,NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1;NW_003816422.1,1337770;1339308;1343186;1353040;1377633;1379556;1425863;1429553;1459805;1574643;1617025;1618571;1618891,1337946;1339426;1343275;1353187;1377702;1379818;1425948;1429644;1459930;1574822;1617205;1618717;1618944,-;-;-;-;-;-;-;-;-;-;-;-;-,1733,1896,2313,2375,2078,1980,2003,1673,1522,1500,974,850,1008,991,966,984,487,501,511,965,893,813,2282,2274,2036
NPS,NW_003816423.1;NW_003816423.1;NW_003816423.1,102609;102671;106619,102616;102794;106798,+;+;+,312,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXI2,NW_003816423.1;NW_003816423.1;NW_003816423.1;NW_003816423.1;NW_003816423.1;NW_003816423.1,236002;241918;242317;242596;271931;272827,236096;242202;242469;242698;272021;273371,+;+;+;+;+;+,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC111718654,NW_003816424.1,647,2203,+,1557,21,33,35,36,45,32,37,41,44,102,116,138,254,215,204,11,10,30,73,90,82,27,35,30
MKI67,NW_003816424.1;NW_003816424.1;NW_003816424.1;NW_003816424.1;NW_003816424.1;NW_003816424.1;NW_003816424.1;NW_003816424.1;NW_003816424.1;NW_003816424.1;NW_003816424.1;NW_003816424.1;NW_003816424.1;NW_003816424.1;NW_003816424.1;NW_003816424.1;NW_003816424.1,13708;16241;19457;20429;25546;26242;26622;27480;29449;30470;32001;32406;36837;38391;39018;40171;40421,14125;19014;19520;24633;25689;26413;26740;27783;29633;31337;32197;32614;37626;38433;39090;40286;40505,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,10766,8849,13776,14724,11565,12641,12053,13191,10704,10628,12203,10714,14192,7203,7073,6956,1376,1405,1646,8629,6540,6624,13165,17682,11383
NEUROG3,NW_003816425.1,36309,36977,-,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM241B,NW_003816425.1;NW_003816425.1,89513;92534,89630;93991,+;+,1576,820,1042,1026,929,898,989,925,835,783,914,781,876,1284,1229,1199,1468,1639,1823,1572,1315,1414,1018,890,862
COL13A1,NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1;NW_003816426.1,63315;126013;128871;134458;138285;142515;151909;153691;157510;160714;161123;163590;165875;172045;172585;174594;177262;194131;195005;202420;204022;204898;205696;206444;208736;210378;211045;211432;212999;214516;215683;218508;220095;226515;229564;232777;234989;239750;244232;247135,63380;126020;128897;134493;138311;142565;151944;153717;157536;160740;161149;163616;165931;172161;172626;174620;177297;194175;195037;202473;204108;204951;205740;206512;208759;210440;211089;211575;213097;214560;215724;218534;220175;226550;229617;232830;235024;239836;244270;247601,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
